Dataset,Model,Batch Size,Optimizer,Learning Rate,Epochs,pin_memory,Test Accuracy (%),Train Time (ms)
MNIST,ResNet-18,16,SGD,0.001,1,False,97.99,61252.83098220825
MNIST,ResNet-18,16,SGD,0.0001,1,False,83.89,60119.59528923035
MNIST,ResNet-18,16,Adam,0.001,1,False,98.88,62309.197425842285
MNIST,ResNet-18,16,Adam,0.0001,1,False,98.75,62430.34386634827
MNIST,ResNet-18,32,SGD,0.001,1,False,97.57,47637.14766502381
MNIST,ResNet-18,32,SGD,0.0001,1,False,73.33,47001.139640808105
MNIST,ResNet-18,32,Adam,0.001,1,False,96.98,47859.51662063599
MNIST,ResNet-18,32,Adam,0.0001,1,False,94.8,49366.1208152771
MNIST,ResNet-18,16,SGD,0.001,1,True,96.97,52448.95768165589
MNIST,ResNet-18,16,SGD,0.0001,1,True,88.34,51880.36751747131
MNIST,ResNet-18,16,Adam,0.001,1,True,97.85,54646.96407318115
MNIST,ResNet-18,16,Adam,0.0001,1,True,98.64,54029.80542182922
MNIST,ResNet-18,32,SGD,0.001,1,True,96.95,40979.716539382935
MNIST,ResNet-18,32,SGD,0.0001,1,True,77.74,40045.64833641052
MNIST,ResNet-18,32,Adam,0.001,1,True,96.22,46368.72005462647
MNIST,ResNet-18,32,Adam,0.0001,1,True,98.88,58893.250703811646
MNIST,ResNet-18,16,SGD,0.001,2,False,98.73,175929.09455299377
MNIST,ResNet-18,16,SGD,0.0001,2,False,92.21,189039.22390937805
MNIST,ResNet-18,16,Adam,0.001,2,False,98.65,199154.620885849
MNIST,ResNet-18,16,Adam,0.0001,2,False,98.8,196584.2187404633
MNIST,ResNet-18,32,SGD,0.001,2,False,97.95,143725.36492347717
MNIST,ResNet-18,32,SGD,0.0001,2,False,90.17,143155.4455757141
MNIST,ResNet-18,32,Adam,0.001,2,False,97.66,152600.84700584412
MNIST,ResNet-18,32,Adam,0.0001,2,False,99.12,143766.23129844666
MNIST,ResNet-18,16,SGD,0.001,2,True,98.51,169032.2425365448
MNIST,ResNet-18,16,SGD,0.0001,2,True,95.16,167133.73041152954
MNIST,ResNet-18,16,Adam,0.001,2,True,97.8,175505.13124465942
MNIST,ResNet-18,16,Adam,0.0001,2,True,98.91,171671.98729515076
MNIST,ResNet-18,32,SGD,0.001,2,True,97.69,118312.38532066344
MNIST,ResNet-18,32,SGD,0.0001,2,True,69.2,117029.1826725006
MNIST,ResNet-18,32,Adam,0.001,2,True,98.47,119267.10963249208
MNIST,ResNet-18,32,Adam,0.0001,2,True,98.02,116492.54155158997
MNIST,ResNet-50,16,SGD,0.001,1,False,97.69,174725.0440120697
MNIST,ResNet-50,16,SGD,0.0001,1,False,71.26,151897.85385131836
MNIST,ResNet-50,16,Adam,0.001,1,False,97.61,188775.06375312805
MNIST,ResNet-50,16,Adam,0.0001,1,False,98.11,190330.7056427002
MNIST,ResNet-50,32,SGD,0.001,1,False,97.25,146289.02912139893
MNIST,ResNet-50,32,SGD,0.0001,1,False,47.75,147949.11694526672
MNIST,ResNet-50,32,Adam,0.001,1,False,96.67,155665.92836380005
MNIST,ResNet-50,32,Adam,0.0001,1,False,98.08,155985.0149154663
MNIST,ResNet-50,16,SGD,0.001,1,True,97.48,171505.67078590393
MNIST,ResNet-50,16,SGD,0.0001,1,True,60.79,175096.72212600708
MNIST,ResNet-50,16,Adam,0.001,1,True,97.55,184863.05594444275
MNIST,ResNet-50,16,Adam,0.0001,1,True,98.16,185787.48393058777
MNIST,ResNet-50,32,SGD,0.001,1,True,96.82,133324.8131275177
MNIST,ResNet-50,32,SGD,0.0001,1,True,42.21,140651.43036842346
MNIST,ResNet-50,32,Adam,0.001,1,True,97.03,147222.45502471924
MNIST,ResNet-50,32,Adam,0.0001,1,True,97.31,148486.91320419312
MNIST,ResNet-50,16,SGD,0.001,2,False,98.67,385521.7571258545
MNIST,ResNet-50,16,SGD,0.0001,2,False,90.38,392754.4929981232
MNIST,ResNet-50,16,Adam,0.001,2,False,98.44,432155.9500694275
MNIST,ResNet-50,16,Adam,0.0001,2,False,98.7,428829.8614025116
MNIST,ResNet-50,32,SGD,0.001,2,False,98.14,302875.7643699646
MNIST,ResNet-50,32,SGD,0.0001,2,False,64.18,303094.35868263245
MNIST,ResNet-50,32,Adam,0.001,2,False,98.09,312994.6141242981
MNIST,ResNet-50,32,Adam,0.0001,2,False,98.63,315252.955198288
MNIST,ResNet-50,16,SGD,0.001,2,True,98.54,345364.9697303772
MNIST,ResNet-50,16,SGD,0.0001,2,True,92.43,491939.8362636566
MNIST,ResNet-50,16,Adam,0.001,2,True,98.35,498530.2011966705
MNIST,ResNet-50,16,Adam,0.0001,2,True,99.06,402886.81054115295
MNIST,ResNet-50,32,SGD,0.001,2,True,97.78,311778.33461761475
MNIST,ResNet-50,32,SGD,0.0001,2,True,71.24,311858.86788368225
MNIST,ResNet-50,32,Adam,0.001,2,True,97.18,325262.53509521484
MNIST,ResNet-50,32,Adam,0.0001,2,True,98.6,323502.8049945832
FashionMNIST,ResNet-18,16,SGD,0.001,1,False,85.09,94608.98351669312
FashionMNIST,ResNet-18,16,SGD,0.0001,1,False,74.56,85774.42860603333
FashionMNIST,ResNet-18,16,Adam,0.001,1,False,87.86,88420.4785823822
FashionMNIST,ResNet-18,16,Adam,0.0001,1,False,88.45,95905.87496757507
FashionMNIST,ResNet-18,32,SGD,0.001,1,False,75.38,68046.54097557068
